GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Anhui-Solar_Distributed,2050.10.22.12,0.5983972194139657
Anhui-Solar_Distributed,2050.10.22.16,0.1512654109253818
Anhui-Solar_Distributed,2050.10.22.20,0.0
Anhui-Solar_Distributed,2050.11.29.00,0.0
Anhui-Solar_Distributed,2050.11.29.04,0.0
Anhui-Solar_Distributed,2050.11.29.08,0.1933482674465332
Anhui-Solar_Distributed,2050.11.29.12,0.5570879407273572
Anhui-Solar_Distributed,2050.11.29.16,0.0827524665900234
Anhui-Solar_Distributed,2050.11.29.20,0.0
Anhui-Solar_Distributed,2050.12.12.00,0.0
Anhui-Solar_Distributed,2050.12.12.04,0.0
Anhui-Solar_Distributed,2050.12.12.08,0.1145946161141293
Anhui-Solar_Distributed,2050.12.12.12,0.5097891621652343
Anhui-Solar_Distributed,2050.12.12.16,0.0505917409551928
Anhui-Solar_Distributed,2050.12.12.20,0.0
Anhui-Solar_Distributed,2055.01.27.00,0.0
Anhui-Solar_Distributed,2055.01.27.04,0.0
Anhui-Solar_Distributed,2055.01.27.08,0.1414144108462982
Anhui-Solar_Distributed,2055.01.27.12,0.4466468642558152
Anhui-Solar_Distributed,2055.01.27.16,0.0505255995348202
Anhui-Solar_Distributed,2055.01.27.20,0.0
Anhui-Solar_Distributed,2055.02.15.00,0.0
Anhui-Solar_Distributed,2055.02.15.04,0.0
Anhui-Solar_Distributed,2055.02.15.08,0.0528438302772046
Anhui-Solar_Distributed,2055.02.15.12,0.1371268997158874
Anhui-Solar_Distributed,2055.02.15.16,0.0133666542822823
Anhui-Solar_Distributed,2055.02.15.20,0.0
Anhui-Solar_Distributed,2055.03.16.00,0.0
Anhui-Solar_Distributed,2055.03.16.04,0.0
Anhui-Solar_Distributed,2055.03.16.08,0.143132008135381
Anhui-Solar_Distributed,2055.03.16.12,0.4908750405433055
Anhui-Solar_Distributed,2055.03.16.16,0.1273319209316112
Anhui-Solar_Distributed,2055.03.16.20,0.0
Anhui-Solar_Distributed,2055.04.06.00,0.0
Anhui-Solar_Distributed,2055.04.06.04,0.0
Anhui-Solar_Distributed,2055.04.06.08,0.2257062229894088
Anhui-Solar_Distributed,2055.04.06.12,0.5979446248391462
Anhui-Solar_Distributed,2055.04.06.16,0.2651021047838986
Anhui-Solar_Distributed,2055.04.06.20,0.0
Anhui-Solar_Distributed,2055.05.13.00,0.0
Anhui-Solar_Distributed,2055.05.13.04,0.0
Anhui-Solar_Distributed,2055.05.13.08,0.3792168690390518
Anhui-Solar_Distributed,2055.05.13.12,0.6056276476472053
Anhui-Solar_Distributed,2055.05.13.16,0.1725488946162841
Anhui-Solar_Distributed,2055.05.13.20,0.0
Anhui-Solar_Distributed,2055.06.09.00,0.0
Anhui-Solar_Distributed,2055.06.09.04,0.0
Anhui-Solar_Distributed,2055.06.09.08,0.2385170949241562
Anhui-Solar_Distributed,2055.06.09.12,0.3822026337656607
Anhui-Solar_Distributed,2055.06.09.16,0.1078220697082232
